id,name,vibe_tags
39,Magic Academy,"Performance, Magic, Art, Unique, Educational, Entertainment, Creative, Skill, Visual, Wonder, Stage, Training, Community, Artistic-expression"
40,Anchuthengu Fort,"Coastal, History, British-era, Scenic, Heritage, Fortification, Sea-view, Colonial, Archaeological, Windy, Historical-site, Explore, Photography"
41,Ariya Nivaas,"Vegetarian, South-Indian, Budget, Family, Pure-veg, Thali, Dosa, Filter-coffee, Clean, Reliable, Station-side, Quick-service, Traditional, Affordable, Repeat-favorite"
42,Azad Restaurant,"Biryani, Travancore-style, Non-veg, Iconic, Mutton, Overbridge, Spacious, Two-floors, Local-institution, Flavorful, Value, Crowded, Lunch-rush, Classic, Beef-fry"
43,Hotel Rahmaniya,"Chicken-fry, Old-school, Local-favorite, Queue, Kethel, Minimal-spice, Fresh-chicken, Malabar, Heritage-eatery, Coconut-oil, No-frills, Authentic, Palayam, Legendary, Crowded"
44,Kalavara Restaurant,"Rooftop, Multicuisine, Family, Lively, Chinese, Open-air, Evening-vibe, Group-friendly, City-view, Casual, Tandoori, Variety, Social, Spacious, Buzzing"
45,The Yellow Chilli,"North-Indian, Sanjeev-Kapoor, Upscale, Tandoor, Curries, Family-dining, Celebrity-chef, Murg, Refined, Butter-naan, AC, Date-spot, Rich-gravies, Polished, Contemporary"
46,Buhari Hotel,"Biryani, Mughlai, Heritage, Casual, Fort, Affordable, Kerala, North-Indian, Old-name, Busy, Value-meals, Local, Fast, Traditional, Reliable"
47,Coconut Grove,"Seafood, Beach-side, Fresh-catch, Tandoori, Kovalam, Fish, Prawns, Sea-view, Touristy, Grilled, Continental, Relaxed, Holiday, Sunset-dining, Catch-of-the-day"
48,Hotel Aryaas Park,"Vegetarian, Thali, Clean, Affordable, South-Indian, North-Indian, Chinese, Hygienic, Parking, Filter-coffee, Quick, Family, Thampanoor, Trusted, Pure-veg"
49,Hotel Saravana Bhavan,"Vegetarian, Dosa, Hygienic, Reliable, South-Indian, Idli, Chain, Consistent, Family, Clean, Service, Affordable, Tiffin, Coffee, Trusted-name"
50,Bait Al Mandi,"Mandi, Arabian, Generous-portions, Techie-spot, Kuzhi-mandi, Middle-Eastern, Shawarma, Kabsa, Kazhakootam, Hummus, Group-feast, Technopark, Authentic, Flavorful, Value"
51,The German Bakery,"Beach-view, Bakery, Continental, Seafood, Kovalam, Lighthouse, Desserts, Thai, Pizza, Tourist-favorite, Sunset, Relaxed, Backpacker, German-sausage, Scenic"
52,Karim's,"Mughlai, Kebab, Old-Delhi-legacy, Mall, Seekh-kabab, Mutton-burra, Lulu, Authentic, Rich, Royal-cuisine, Chandni-chowk, AC, Family, Indulgent, Heritage-brand"
53,Halais Dum Biryani,"Kuzhi-mandi, Arabian, Biryani, Grilled, Dum, Al-faham, Mandi, Affordable, Home-delivery, Authentic-style, Palayam, Techpark, Spicy, Hearty, Popular"
54,Oasis Ice Cream Parlour,"Ice-cream, Dessert, Puttu-icecream, Sweet-tooth, Shakes, Juices, Sasthamangalam, Family, Evening-treat, Indira-Bhavan, Fruity, Indulgent, Cool, Local-favorite, Fun"
55,Ma Cafe,"Burgers, Hangout, Youthful, Late-night, Sandwiches, Wraps, Mojito, Milkshake, Vellayambalam, Cozy, Trendy, Fast-food, Friendly, Instagrammable, Casual"
56,Koyikkal Palace,"Venad-palace, Folklore, Numismatics, Heritage, 17th-century, Coins, Musical-instruments, Traditional-architecture, Museum, Nedumangad, Quiet, History, Royal, Educational, Cultural"
57,CVN Kalari Sangham,"Kalaripayattu, Martial-arts, Cultural, Ancient, Performance, Gurukkal, Tradition, Combat, Discipline, Marma, Ayurveda, East-Fort, Demonstration, Heritage, Unique"
58,Vellayani Lake,"Freshwater-lake, Boating, Sunset, Lotus, Largest-in-Kerala, Backwaters, Coconut-palms, Morning-walk, Paddle-boat, Serene, Birdlife, Scenic, Nature, Photography, Peaceful"
59,Aruvikkara Dam,"Dam, River, Fish-feeding, Picnic, Karamana-river, Durga-temple, Family, Park, Reservoir, Greenery, Weekend, Calm, Nature, Rock-cut-temple, Relaxing"
60,Valiyathura Pier,"Sea-bridge, Sunset, Fishermen, Historic, WWII-era, Arabian-sea, Coastal, Photography, Offbeat, Local-hangout, Pier, Waves, Evening, Hidden-gem, Atmospheric"
61,Thiruvallam Parasurama Temple,"Backwaters, Canoeing, Parasurama, Riverside, Triveni-sangamam, Ancestral-rites, Kayaking, Tranquil, Pandyan-era, Sacred, Confluence, Nature, Spiritual, Houseboat, Serene"
62,Peppara Wildlife Sanctuary,"Wildlife, Forest, Reservoir, Birding, Western-Ghats, Elephants, Trekking, Nature, Eco-tourism, Karamana, Biodiversity, Day-trip, Remote, Green, Adventure"
63,Kallar Meenmutty Falls,"Waterfall, Trek, Rock-pools, Forest, Kallar-river, Swimming, Boulders, Nature, Ponmudi-route, Adventure, Cascade, Cool-water, Scenic, Day-out, Refreshing"
64,Varkala Papanasam Beach,"Cliff, Sunset, Sacred, Cafes, Red-laterite, Arabian-sea, Yoga, Ayurveda, North-cliff, Holy-dip, Backpacker, Scenic, Beach-town, Photography, Iconic"
65,Kowdiar Palace,"Royal-residence, Architecture, Landmark, Gate-view, Travancore, 1934, Heritage, European-Kerala-fusion, Grand, Central, Photogenic, Historic, Regal, Iconic, Cultural"
